game_id,score_F_phase1,score_G_phase1,score_F_phase2,score_G_phase2,score_F,score_G,winner,phase1_turns,phase1_end_player,phase2_turns,phase2_end_player
153,6,5,10,10,16,14,F,9,G,8,F
154,1,1,5,6,14,12,F,4,F,6,G
155,5,3,12,7,21,10,F,7,G,9,F
156,3,2,7,6,12,10,F,9,G,9,F
157,2,2,8,7,14,11,F,4,F,9,G
158,2,1,5,4,11,12,G,3,G,4,F
159,1,1,7,4,13,9,F,3,G,9,F
160,3,1,7,5,12,9,F,9,G,9,F
161,5,5,9,9,14,14,draw,9,G,9,F
162,1,2,5,6,13,12,F,2,F,9,G
163,3,1,6,3,11,7,F,9,G,9,F
164,5,2,12,6,18,11,F,9,G,6,F
165,2,2,7,7,12,12,draw,9,G,9,F
166,4,3,9,7,14,12,F,9,G,9,F
167,2,1,6,4,10,9,F,2,F,9,G
168,5,2,12,6,16,10,F,9,G,9,F
169,1,2,6,7,12,14,G,4,F,9,G
170,3,2,9,5,15,8,F,7,G,9,F
171,1,1,6,7,12,12,draw,2,F,9,G
172,2,2,7,5,11,9,F,9,G,9,F
173,1,2,5,6,11,10,F,2,F,6,G
174,3,4,8,7,14,11,F,7,G,9,F
175,2,1,5,5,9,9,draw,4,F,9,G
176,1,2,3,5,7,8,G,3,G,4,F
177,3,2,6,4,12,8,F,5,G,6,F
178,5,1,12,2,19,4,F,9,G,9,F
179,2,3,5,7,11,13,G,7,G,9,F
180,1,4,4,7,9,11,G,9,G,9,F
181,4,2,8,7,12,13,G,9,G,8,F
182,6,2,14,7,22,12,F,9,G,9,F
183,2,1,6,5,9,8,F,5,G,9,F
184,3,2,8,5,13,10,F,8,F,9,G
185,2,3,6,7,11,12,G,9,G,9,F
186,4,4,8,9,12,13,G,9,G,8,F
187,4,3,8,8,13,15,G,6,F,9,G
188,2,1,8,5,16,10,F,4,F,9,G
189,3,3,5,6,7,11,G,8,F,2,G
190,3,3,7,5,11,9,F,9,G,9,F
191,1,4,6,8,11,13,G,9,G,9,F
192,2,1,4,3,8,7,F,3,G,2,F
193,2,2,5,4,11,10,F,7,G,9,F
194,3,2,7,6,12,11,F,9,G,8,F
195,1,1,3,4,7,7,draw,3,G,6,F
196,3,3,8,8,15,13,F,9,G,9,F
197,4,5,8,11,14,18,G,8,F,9,G
198,5,2,9,4,13,9,F,9,G,9,F
199,2,0,9,6,17,12,F,2,F,9,G
200,6,2,10,7,15,13,F,9,G,9,F
201,5,2,11,7,16,13,F,4,F,8,G
202,3,5,6,11,12,16,G,9,G,4,F
203,5,4,11,8,18,12,F,9,G,2,F
204,1,3,6,7,14,12,F,9,G,9,F
205,2,2,6,5,12,9,F,9,G,4,F
206,4,2,9,8,15,12,F,8,F,9,G
207,3,4,6,9,12,15,G,9,G,2,F
208,5,4,11,10,16,16,draw,9,G,9,F
209,1,1,6,5,11,9,F,9,G,9,F
210,2,0,6,1,12,5,F,5,G,9,F
211,2,4,6,9,13,14,G,8,F,9,G
212,3,2,9,8,16,14,F,9,G,9,F
213,1,0,4,4,9,9,draw,4,F,6,G
214,4,4,7,9,12,15,G,9,G,9,F
215,3,2,7,6,12,11,F,9,G,9,F
216,4,3,8,7,13,14,G,9,G,8,F
217,2,2,6,7,12,14,G,8,F,9,G
218,5,3,9,7,13,14,G,9,G,9,F
219,1,1,6,6,12,14,G,2,F,9,G
220,4,4,10,9,15,16,G,9,G,9,F
221,1,2,6,6,11,13,G,3,G,9,F
222,2,2,8,5,16,10,F,9,G,9,F
223,2,1,5,4,11,9,F,2,F,8,G
224,2,3,5,7,11,15,G,5,G,2,F
225,1,2,2,6,5,9,G,9,G,9,F
226,2,4,3,8,6,14,G,9,G,4,F
227,2,3,5,7,9,10,G,9,G,2,F
228,1,2,3,5,7,10,G,2,F,2,G
229,2,2,8,6,15,12,F,4,F,9,G
230,3,2,6,4,13,11,F,4,F,4,G
231,3,1,8,5,13,9,F,3,G,9,F
232,2,2,7,4,13,7,F,9,G,9,F
233,6,2,10,7,14,14,draw,9,G,9,F
234,2,4,4,10,10,19,G,4,F,8,G
235,0,1,3,5,10,9,F,9,G,6,F
236,2,7,5,15,12,23,G,9,G,4,F
237,3,4,6,9,14,15,G,8,F,2,G
238,2,1,6,3,12,7,F,9,G,2,F
239,1,2,3,7,9,13,G,6,F,2,G
240,3,1,7,5,12,10,F,7,G,9,F
241,3,3,7,7,10,11,G,9,G,9,F
242,2,2,5,8,10,14,G,4,F,9,G
243,1,3,5,9,10,16,G,9,G,9,F
244,1,1,3,3,7,10,G,2,F,2,G
245,3,1,7,5,12,11,F,9,G,9,F
246,5,4,8,9,12,15,G,9,G,9,F
247,2,2,6,5,9,11,G,2,F,9,G
248,2,1,7,4,13,8,F,7,G,9,F
249,3,2,9,7,16,13,F,9,G,6,F
250,4,3,8,7,13,14,G,9,G,2,F
251,6,2,13,4,20,8,F,9,G,2,F
252,3,4,6,7,10,12,G,9,G,2,F
253,5,4,10,8,14,11,F,9,G,6,F
254,2,2,5,9,10,16,G,4,F,9,G
255,1,2,2,4,7,8,G,2,F,2,G
256,2,2,5,7,8,12,G,4,F,9,G
257,3,1,7,6,13,13,draw,9,G,9,F
258,0,5,3,12,6,20,G,9,G,6,F
259,2,3,6,10,11,14,G,6,F,9,G
260,3,1,7,3,11,7,F,9,G,9,F
261,2,2,6,6,13,13,draw,2,F,4,G
262,2,3,6,4,11,7,F,6,F,9,G
263,2,2,6,5,10,9,F,6,F,2,G
264,4,1,9,4,14,9,F,9,G,2,F
265,4,2,9,6,14,11,F,6,F,9,G
266,1,5,6,11,9,17,G,8,F,9,G
267,1,1,7,4,13,7,F,2,F,9,G
268,2,1,5,2,9,7,F,9,G,9,F
269,3,3,8,7,13,11,F,9,G,9,F
270,2,1,6,2,13,8,F,2,F,4,G
271,2,1,8,6,16,11,F,3,G,9,F
272,2,2,6,5,11,9,F,9,G,9,F
273,1,2,6,8,11,12,G,6,F,8,G
274,4,2,8,6,13,9,F,9,G,9,F
275,3,2,7,6,11,10,F,3,G,9,F
276,1,3,5,9,10,15,G,2,F,9,G
277,3,3,9,6,14,11,F,9,G,8,F
278,2,2,6,5,13,11,F,4,F,2,G
279,1,1,2,3,4,9,G,3,G,2,F
280,2,3,6,12,12,20,G,6,F,8,G
281,4,2,8,4,16,7,F,9,G,2,F
282,5,3,10,8,17,14,F,9,G,2,F
283,2,2,6,6,12,11,F,8,F,9,G
284,4,1,9,4,12,9,F,9,G,9,F
285,2,3,7,10,14,17,G,4,F,9,G
286,3,3,6,6,8,12,G,9,G,6,F
287,4,3,6,6,9,11,G,9,G,9,F
288,3,2,6,4,11,8,F,9,G,9,F
289,1,2,6,5,12,10,F,2,F,9,G
290,4,1,10,4,14,11,F,9,G,6,F
291,2,2,6,4,11,10,F,5,G,6,F
292,1,1,6,8,12,13,G,2,F,9,G
293,1,3,6,8,10,13,G,6,F,9,G
294,3,1,7,6,12,11,F,4,F,9,G
295,3,1,9,4,17,9,F,3,G,9,F
296,4,3,6,6,9,10,G,9,G,2,F
297,2,4,7,9,12,15,G,9,G,9,F
298,2,3,5,7,9,15,G,3,G,2,F
299,3,2,9,6,14,12,F,9,G,8,F
300,1,2,4,5,11,11,draw,3,G,2,F
301,1,4,3,8,8,11,G,8,F,6,G
302,4,2,10,7,15,11,F,9,G,9,F
303,1,2,3,6,7,13,G,9,G,9,F
304,3,2,8,7,13,15,G,9,G,6,F
305,4,2,8,6,13,14,G,9,G,9,F
306,3,4,9,8,15,11,F,9,G,9,F
307,7,1,14,6,22,10,F,9,G,6,F
308,3,4,8,8,12,14,G,9,G,9,F
309,5,2,8,5,13,11,F,6,F,9,G
310,5,2,9,6,16,12,F,9,G,6,F
311,2,2,7,5,11,10,F,9,G,9,F
312,1,1,5,3,11,7,F,2,F,6,G
313,0,1,4,5,10,12,G,5,G,9,F
314,1,2,7,7,12,14,G,9,G,9,F
315,1,2,4,10,10,17,G,4,F,9,G
316,0,0,7,5,13,9,F,2,F,8,G
317,1,2,6,6,15,11,F,2,F,6,G
318,1,0,3,3,5,5,draw,2,F,9,G
319,1,3,4,7,7,11,G,5,G,9,F
320,1,2,4,7,7,11,G,6,F,9,G
321,2,0,5,3,7,6,F,9,G,8,F
322,1,2,5,6,11,8,F,8,F,9,G
323,1,2,5,3,12,5,F,9,G,9,F
324,3,4,8,10,12,15,G,4,F,6,G
325,3,3,8,10,14,18,G,6,F,9,G
326,2,5,5,12,11,18,G,9,G,9,F
327,2,2,4,4,9,8,F,3,G,2,F
328,1,1,4,3,7,8,G,4,F,9,G
329,1,3,5,8,13,15,G,9,G,8,F
330,2,4,8,10,14,15,G,6,F,9,G
331,1,2,6,6,12,13,G,3,G,8,F
332,2,3,4,8,9,13,G,8,F,9,G
333,1,2,7,5,14,10,F,5,G,9,F
334,4,1,9,4,12,9,F,7,G,9,F
335,4,4,9,8,15,11,F,9,G,9,F
336,3,2,6,4,10,8,F,8,F,6,G
337,3,3,10,6,15,11,F,7,G,9,F
338,3,3,8,6,12,10,F,7,G,9,F
339,3,2,6,6,9,12,G,6,F,9,G
340,2,2,7,5,14,10,F,6,F,9,G
341,1,1,3,4,9,7,F,2,F,9,G
342,2,2,9,6,17,12,F,2,F,9,G
343,3,3,6,3,8,6,F,9,G,9,F
344,4,2,7,9,10,14,G,9,G,9,F
345,3,3,6,8,8,12,G,9,G,9,F
346,3,3,5,9,9,15,G,4,F,9,G
347,2,1,5,5,9,9,draw,8,F,9,G
348,2,4,7,9,11,14,G,9,G,9,F
349,5,1,11,5,17,9,F,7,G,9,F
350,4,2,8,6,12,12,draw,6,F,9,G
351,3,4,9,11,14,19,G,9,G,9,F
352,3,3,10,7,16,11,F,9,G,9,F
353,1,4,4,9,8,12,G,9,G,9,F
354,4,3,9,9,14,13,F,9,G,9,F
355,3,2,9,6,15,9,F,8,F,9,G
356,4,4,11,10,16,16,draw,9,G,9,F
357,1,3,3,8,6,16,G,9,G,2,F
358,4,2,11,5,13,10,F,6,F,8,G
359,5,1,11,4,16,8,F,9,G,9,F
360,3,4,7,9,12,13,G,9,G,9,F
361,2,2,5,6,10,12,G,9,G,9,F
362,2,1,4,6,7,11,G,2,F,9,G
363,0,2,1,4,4,7,G,3,G,6,F
364,2,2,9,5,15,10,F,3,G,9,F
365,4,2,10,5,17,9,F,8,F,9,G
366,4,5,7,11,11,17,G,9,G,9,F
367,2,1,8,7,11,13,G,9,G,9,F
368,3,2,8,9,13,15,G,3,G,8,F
369,0,1,4,7,9,11,G,2,F,9,G
370,4,4,9,7,14,11,F,9,G,9,F
371,4,5,9,14,16,20,G,7,G,4,F
372,2,1,8,4,14,9,F,9,G,9,F
373,4,4,11,6,20,9,F,9,G,9,F
374,2,1,9,7,15,14,F,2,F,9,G
375,3,3,9,6,15,11,F,9,G,9,F
376,4,1,11,5,15,11,F,3,G,9,F
377,3,5,6,13,9,21,G,9,G,9,F
378,4,5,8,10,13,16,G,6,F,4,G
379,2,1,6,6,10,10,draw,8,F,6,G
380,2,0,6,7,10,12,G,4,F,9,G
381,3,1,8,5,16,12,F,9,G,4,F
382,5,3,9,6,14,10,F,9,G,9,F
383,4,3,8,6,12,9,F,9,G,9,F
384,3,3,7,7,13,12,F,9,G,9,F
385,4,3,7,9,10,14,G,7,G,9,F
386,2,2,6,6,10,10,draw,9,G,6,F
387,6,3,9,6,13,11,F,9,G,9,F
388,2,4,6,8,9,13,G,9,G,9,F
389,1,4,5,6,12,10,F,9,G,9,F
390,1,1,7,4,12,9,F,2,F,9,G
391,4,2,8,5,13,10,F,9,G,8,F
392,1,2,8,8,16,16,draw,2,F,9,G
393,3,1,8,5,14,9,F,3,G,9,F
394,4,2,11,4,21,8,F,9,G,9,F
395,4,3,10,8,14,13,F,9,G,9,F
396,3,0,9,1,15,5,F,9,G,4,F
397,3,1,9,4,16,6,F,3,G,9,F
398,2,1,6,4,14,8,F,2,F,4,G
399,3,3,7,9,13,18,G,5,G,4,F
400,1,1,6,8,10,13,G,2,F,9,G
401,0,2,2,7,8,12,G,4,F,6,G
402,2,3,7,8,11,14,G,4,F,9,G
403,2,1,5,2,11,8,F,3,G,2,F
404,6,5,10,9,15,13,F,9,G,9,F
405,0,2,0,4,5,9,G,4,F,2,G
406,5,2,10,5,18,10,F,9,G,4,F
407,4,2,10,4,14,8,F,9,G,9,F
408,1,0,7,5,13,10,F,2,F,9,G
409,3,3,9,8,14,16,G,4,F,9,G
410,4,6,9,13,14,19,G,9,G,4,F
411,2,1,7,5,11,10,F,7,G,9,F
412,3,0,6,3,10,7,F,9,G,9,F
413,1,2,6,7,11,15,G,2,F,9,G
414,2,2,5,6,10,10,draw,9,G,9,F
415,3,2,7,6,13,11,F,3,G,6,F
416,1,2,5,8,12,15,G,2,F,8,G
417,3,2,8,7,11,13,G,9,G,8,F
418,2,2,8,5,13,9,F,8,F,8,G
419,1,2,5,8,11,12,G,5,G,9,F
420,2,2,6,7,12,12,draw,6,F,9,G
421,5,4,8,5,10,7,F,9,G,9,F
422,2,1,5,4,9,9,draw,5,G,8,F
423,4,1,10,5,16,11,F,9,G,9,F
424,3,1,8,4,14,9,F,6,F,9,G
425,3,5,8,11,15,18,G,9,G,4,F
426,2,3,8,5,15,8,F,5,G,8,F
427,3,1,7,4,11,9,F,9,G,9,F
428,3,1,8,7,15,14,F,7,G,6,F
429,0,1,6,4,13,10,F,2,F,8,G
430,3,1,8,6,15,11,F,2,F,9,G
431,6,2,10,5,13,10,F,9,G,9,F
432,3,3,8,10,13,17,G,5,G,9,F
433,1,0,6,4,12,9,F,2,F,9,G
434,2,2,8,5,14,9,F,9,G,9,F
435,4,3,8,7,12,10,F,7,G,9,F
436,4,4,9,9,15,14,F,8,F,9,G
437,2,2,7,5,12,10,F,6,F,9,G
438,1,3,3,8,8,15,G,4,F,8,G
439,3,2,9,5,15,9,F,4,F,8,G
440,1,2,3,3,9,5,F,4,F,9,G
441,4,2,8,7,11,13,G,8,F,9,G
442,1,3,4,7,9,13,G,4,F,9,G
443,1,2,6,6,11,10,F,4,F,4,G
444,1,1,7,5,13,10,F,2,F,9,G
445,5,2,10,4,15,7,F,9,G,9,F
446,3,1,8,4,14,11,F,9,G,9,F
447,3,2,9,6,16,10,F,9,G,9,F
448,2,1,7,6,13,13,draw,9,G,9,F
449,2,2,4,5,10,9,F,5,G,2,F
450,2,3,6,7,12,11,F,4,F,9,G
451,3,2,7,10,14,17,G,4,F,9,G
452,2,2,5,7,9,14,G,9,G,9,F
453,3,1,10,4,15,7,F,7,G,9,F
454,3,5,9,14,16,19,G,8,F,9,G
455,4,3,10,7,13,13,draw,5,G,6,F
456,1,1,4,4,9,10,G,4,F,4,G
457,4,3,9,6,12,9,F,9,G,9,F
458,4,5,9,12,13,17,G,9,G,4,F
459,1,3,3,7,8,11,G,9,G,2,F
460,1,2,3,6,6,12,G,9,G,4,F
461,2,1,6,2,12,5,F,2,F,9,G
462,4,3,8,6,15,10,F,7,G,2,F
463,1,1,5,4,11,8,F,2,F,4,G
464,5,3,11,8,15,13,F,9,G,8,F
465,1,2,9,7,14,12,F,2,F,9,G
466,1,5,5,11,11,15,G,6,F,9,G
467,2,3,8,7,13,12,F,9,G,9,F
468,5,2,10,4,17,11,F,9,G,2,F
469,3,2,8,6,14,11,F,4,F,2,G
470,6,3,13,4,19,5,F,9,G,9,F
471,2,5,6,11,12,17,G,7,G,2,F
472,1,0,2,3,4,8,G,3,G,9,F
473,3,1,9,3,14,7,F,7,G,9,F
474,5,3,11,7,14,12,F,7,G,9,F
475,3,2,9,6,17,13,F,5,G,9,F
476,2,3,4,6,8,9,G,9,G,9,F
477,2,4,5,8,10,13,G,8,F,9,G
478,1,1,4,4,9,10,G,2,F,4,G
479,2,2,9,6,17,11,F,8,F,9,G
480,3,3,9,7,14,11,F,9,G,9,F
481,1,4,6,11,12,17,G,9,G,9,F
482,3,3,6,6,12,10,F,9,G,4,F
483,5,2,10,4,16,7,F,9,G,9,F
484,7,1,13,6,19,10,F,9,G,9,F
485,3,4,6,8,10,13,G,9,G,2,F
486,4,3,7,7,12,12,draw,9,G,8,F
487,3,3,9,9,13,16,G,5,G,9,F
488,2,1,8,3,15,7,F,3,G,8,F
489,1,1,7,4,14,10,F,4,F,6,G
490,1,1,4,5,12,12,draw,2,F,6,G
491,2,2,4,6,9,11,G,3,G,9,F
492,3,2,8,6,14,11,F,4,F,8,G
493,2,2,9,7,14,12,F,6,F,8,G
494,3,2,7,7,10,14,G,9,G,6,F
495,1,2,3,5,7,6,F,2,F,2,G
496,3,3,9,6,15,11,F,8,F,9,G
497,4,3,10,6,18,11,F,9,G,9,F
498,3,2,9,4,16,10,F,9,G,6,F
499,2,3,4,6,5,13,G,7,G,9,F
500,2,2,7,5,15,11,F,6,F,4,G
501,3,3,7,7,12,14,G,9,G,6,F
502,1,3,4,6,10,11,G,6,F,9,G
503,2,1,4,4,6,10,G,9,G,4,F
504,5,4,9,11,12,17,G,9,G,6,F
505,3,1,10,4,19,7,F,7,G,9,F
506,4,4,11,8,17,12,F,9,G,9,F
507,2,2,6,7,11,14,G,5,G,9,F
508,4,4,8,9,16,17,G,9,G,9,F
509,4,3,8,9,13,17,G,9,G,8,F
510,2,2,5,5,9,12,G,3,G,6,F
511,2,2,8,7,13,13,draw,7,G,9,F
512,4,3,8,8,13,14,G,9,G,9,F
513,2,3,8,7,15,12,F,4,F,9,G
514,4,4,9,8,11,13,G,9,G,2,F
515,0,1,1,4,3,8,G,2,F,2,G
516,1,2,7,8,15,16,G,3,G,9,F
517,4,3,11,8,17,13,F,5,G,9,F
518,1,1,6,5,13,9,F,3,G,9,F
519,2,2,6,5,8,8,draw,9,G,9,F
520,3,1,6,4,9,7,F,8,F,9,G
521,1,4,8,10,13,16,G,5,G,8,F
522,2,1,3,2,8,8,draw,3,G,9,F
523,3,2,9,7,17,12,F,6,F,4,G
524,2,2,8,6,14,12,F,2,F,9,G
525,1,3,4,9,7,17,G,9,G,9,F
526,3,1,9,6,15,13,F,4,F,8,G
527,2,1,5,4,11,9,F,2,F,8,G
528,2,3,8,7,13,11,F,9,G,9,F
529,3,1,7,5,15,11,F,5,G,4,F
530,4,5,8,9,11,14,G,9,G,9,F
531,2,4,5,14,10,23,G,4,F,9,G
532,5,4,10,7,15,11,F,9,G,2,F
533,5,1,11,3,17,9,F,9,G,2,F
534,2,2,5,8,9,13,G,9,G,8,F
535,3,2,10,7,15,12,F,9,G,9,F
536,1,1,2,5,6,11,G,2,F,6,G
537,3,4,7,10,13,15,G,9,G,9,F
538,2,3,7,8,13,11,F,9,G,9,F
539,5,6,9,12,14,19,G,9,G,9,F
540,3,3,6,10,9,17,G,9,G,9,F
541,5,3,7,7,10,12,G,9,G,9,F
542,5,2,10,8,16,14,F,9,G,9,F
543,2,3,6,5,10,9,F,9,G,8,F
544,2,1,7,6,12,12,draw,3,G,9,F
545,1,3,5,10,10,16,G,2,F,9,G
546,5,4,10,10,16,18,G,9,G,9,F
547,4,1,10,3,17,10,F,6,F,8,G
548,3,0,8,4,15,11,F,9,G,6,F
549,2,2,6,5,11,7,F,9,G,9,F
550,4,1,10,3,15,7,F,9,G,9,F
551,1,2,4,7,9,12,G,4,F,4,G
552,5,5,12,10,18,15,F,9,G,6,F
553,4,1,10,5,14,12,F,5,G,9,F
554,4,1,8,3,14,8,F,9,G,2,F
555,3,1,5,4,10,10,draw,7,G,9,F
556,3,1,8,4,12,7,F,7,G,8,F
557,2,0,7,3,12,6,F,3,G,9,F
558,1,2,3,7,6,13,G,8,F,9,G
559,2,3,5,8,11,15,G,9,G,2,F
560,5,4,9,9,14,15,G,9,G,4,F
561,5,2,11,8,20,13,F,4,F,9,G
562,2,2,5,8,7,13,G,3,G,9,F
563,5,2,10,6,14,10,F,6,F,9,G
564,2,1,4,3,9,7,F,9,G,9,F
565,5,3,9,6,11,10,F,9,G,9,F
566,2,2,6,5,10,10,draw,4,F,9,G
567,3,2,6,6,10,14,G,9,G,8,F
568,1,3,4,8,8,15,G,4,F,9,G
569,3,2,9,4,16,8,F,9,G,9,F
570,7,3,12,7,17,12,F,9,G,9,F
571,2,5,6,10,11,16,G,9,G,9,F
572,3,5,7,9,13,15,G,9,G,9,F
573,3,2,6,5,11,12,G,3,G,2,F
574,2,0,3,4,7,9,G,4,F,9,G
