rule,game_id,score_F_phase1,score_G_phase1,score_F_phase2,score_G_phase2,score_F,score_G,winner,phase1_turns,phase1_end_player,phase2_turns,phase2_end_player
by_player,154,3,2,9,5,15,10,F,9,G,9,F
by_player,155,3,4,7,7,13,11,F,8,F,9,G
by_player,156,2,3,7,11,12,17,G,4,F,9,G
by_player,157,2,1,9,4,14,9,F,5,G,9,F
by_player,158,2,3,8,9,13,15,G,4,F,9,G
by_player,159,1,1,6,5,13,10,F,3,G,9,F
by_player,160,6,1,14,3,21,8,F,9,G,9,F
by_player,161,4,5,9,11,14,17,G,9,G,6,F
by_player,162,2,1,5,6,7,11,G,9,G,9,F
by_player,163,1,3,6,8,12,14,G,4,F,9,G
by_player,164,2,4,7,7,14,12,F,7,G,9,F
by_player,165,3,4,7,9,12,14,G,7,G,9,F
by_player,166,4,1,8,4,13,11,F,3,G,8,F
by_player,167,2,3,5,6,8,8,draw,9,G,9,F
by_player,168,5,5,9,12,13,18,G,9,G,9,F
by_player,169,3,1,6,5,11,9,F,9,G,9,F
by_player,170,2,1,9,4,14,10,F,5,G,9,F
by_player,171,4,4,9,9,16,16,draw,9,G,4,F
by_player,172,4,3,10,7,17,13,F,6,F,2,G
by_player,173,3,4,6,9,10,13,G,9,G,9,F
by_player,174,4,3,9,8,13,14,G,9,G,9,F
by_player,175,1,3,7,6,12,11,F,6,F,9,G
by_player,176,2,3,7,7,12,13,G,9,G,6,F
by_player,177,3,2,6,6,8,12,G,9,G,9,F
by_player,178,5,3,8,6,11,10,F,9,G,9,F
by_player,179,1,2,5,8,11,13,G,2,F,9,G
by_player,180,2,2,7,7,14,12,F,3,G,9,F
by_player,181,2,3,5,7,9,11,G,9,G,9,F
by_player,182,3,2,5,3,10,8,F,9,G,6,F
by_player,183,3,2,6,4,9,7,F,9,G,9,F
by_player,184,3,1,8,5,12,9,F,7,G,6,F
by_player,185,2,1,8,5,13,11,F,3,G,9,F
by_player,186,2,1,8,7,15,11,F,3,G,9,F
by_player,187,4,3,11,9,16,16,draw,9,G,6,F
by_player,188,1,1,6,6,11,10,F,3,G,9,F
by_player,189,2,2,9,7,17,14,F,2,F,9,G
by_player,190,5,3,12,7,16,9,F,7,G,9,F
by_player,191,3,1,10,4,14,8,F,3,G,9,F
by_player,192,2,3,6,7,8,11,G,8,F,9,G
by_player,193,3,1,9,5,15,12,F,9,G,9,F
by_player,194,2,2,7,7,12,10,F,4,F,9,G
by_player,195,1,1,4,6,10,14,G,4,F,6,G
by_player,196,3,1,7,5,12,10,F,3,G,6,F
by_player,197,3,2,9,6,15,9,F,9,G,9,F
by_player,198,4,1,9,4,14,7,F,9,G,9,F
by_player,199,4,2,10,7,17,12,F,6,F,8,G
by_player,200,4,3,9,8,16,16,draw,7,G,9,F
by_player,201,2,2,5,7,9,11,G,3,G,9,F
by_player,202,3,5,9,7,14,11,F,9,G,9,F
by_player,203,2,1,8,6,13,13,draw,8,F,9,G
by_player,204,3,1,8,8,13,14,G,4,F,9,G
by_player,205,2,1,9,4,16,8,F,5,G,9,F
by_player,206,4,3,9,5,16,10,F,9,G,9,F
by_player,207,3,3,8,4,15,7,F,6,F,4,G
by_player,208,4,2,10,6,14,11,F,9,G,9,F
by_player,209,3,2,10,7,18,12,F,9,G,9,F
by_player,210,4,2,11,8,17,14,F,5,G,9,F
by_player,211,2,3,6,8,11,13,G,9,G,9,F
by_player,212,1,2,4,6,8,12,G,4,F,6,G
by_player,213,3,3,9,9,14,16,G,8,F,9,G
by_player,214,3,3,9,7,15,14,F,8,F,9,G
by_player,215,2,1,7,3,10,4,F,4,F,6,G
by_player,216,2,1,5,3,7,7,draw,7,G,9,F
by_player,217,3,1,7,4,12,10,F,9,G,9,F
by_player,218,1,3,4,9,6,16,G,9,G,9,F
by_player,219,1,0,6,4,13,11,F,2,F,9,G
by_player,220,1,2,5,7,9,10,G,4,F,9,G
by_player,221,1,0,3,1,8,4,F,2,F,9,G
by_player,222,3,3,9,7,16,11,F,9,G,9,F
by_player,223,2,2,8,6,14,12,F,3,G,9,F
by_player,224,2,2,4,8,5,18,G,9,G,9,F
by_player,225,5,1,10,4,14,10,F,9,G,9,F
by_player,226,1,0,6,4,13,9,F,2,F,9,G
by_player,227,4,2,11,6,16,12,F,9,G,9,F
by_player,228,4,2,11,6,17,10,F,9,G,9,F
by_player,229,3,1,6,6,9,13,G,6,F,9,G
by_player,230,2,1,6,7,13,17,G,2,F,9,G
by_player,231,1,0,7,3,12,7,F,9,G,9,F
by_player,232,5,3,10,6,14,10,F,9,G,9,F
by_player,233,3,1,7,5,10,11,G,9,G,4,F
by_player,234,4,3,7,6,11,9,F,9,G,9,F
by_player,235,1,1,5,7,11,13,G,2,F,9,G
by_player,236,2,2,5,7,8,13,G,6,F,9,G
by_player,237,3,4,5,9,12,18,G,9,G,4,F
by_player,238,2,4,4,9,6,11,G,9,G,8,F
by_player,239,1,5,5,8,9,13,G,9,G,9,F
by_player,240,2,2,5,5,9,10,G,9,G,9,F
by_player,241,4,3,8,7,13,11,F,6,F,9,G
by_player,242,3,2,8,6,15,10,F,9,G,9,F
by_player,243,4,1,9,6,14,15,G,9,G,9,F
by_player,244,1,1,5,6,8,10,G,3,G,9,F
by_player,245,2,5,5,11,10,15,G,9,G,4,F
by_player,246,3,5,7,11,13,18,G,9,G,9,F
by_player,247,3,4,6,10,12,16,G,5,G,2,F
by_player,248,3,2,8,7,14,12,F,8,F,9,G
by_player,249,4,1,7,5,10,11,G,6,F,9,G
by_player,250,5,3,12,7,18,11,F,9,G,8,F
by_player,251,4,5,10,8,20,13,F,7,G,9,F
by_player,252,2,3,6,10,10,18,G,6,F,9,G
by_player,253,2,2,6,7,9,12,G,3,G,6,F
by_player,254,2,2,7,5,11,11,draw,4,F,9,G
by_player,255,2,2,5,5,7,8,G,9,G,9,F
by_player,256,3,4,7,11,12,17,G,7,G,2,F
by_player,257,5,2,9,4,11,7,F,9,G,9,F
by_player,258,4,3,10,9,13,14,G,9,G,6,F
by_player,259,4,1,6,2,10,6,F,9,G,9,F
by_player,260,4,4,8,7,12,11,F,9,G,9,F
by_player,261,2,2,5,6,10,13,G,4,F,9,G
by_player,262,4,2,9,5,16,11,F,9,G,2,F
by_player,263,2,1,7,4,14,11,F,2,F,9,G
by_player,264,0,0,3,3,7,7,draw,9,G,9,F
by_player,265,4,1,9,4,15,9,F,9,G,9,F
by_player,266,3,2,6,6,12,12,draw,9,G,6,F
by_player,267,2,2,5,6,10,11,G,8,F,6,G
by_player,268,2,1,5,4,9,7,F,2,F,9,G
by_player,269,4,3,11,9,16,14,F,9,G,9,F
by_player,270,1,1,5,5,11,7,F,2,F,9,G
by_player,271,4,3,9,6,15,12,F,9,G,8,F
by_player,272,0,0,2,2,6,6,draw,2,F,8,G
by_player,273,1,3,4,6,7,9,G,9,G,9,F
by_player,274,4,2,9,6,16,12,F,9,G,9,F
by_player,275,3,4,8,9,14,16,G,9,G,9,F
by_player,276,4,2,10,5,16,11,F,8,F,4,G
by_player,277,5,4,8,8,13,14,G,9,G,9,F
by_player,278,5,4,10,8,15,13,F,9,G,9,F
by_player,279,4,4,9,7,15,11,F,9,G,9,F
by_player,280,3,4,7,9,12,13,G,9,G,4,F
by_player,281,4,4,9,8,13,12,F,9,G,9,F
by_player,282,1,2,5,7,9,13,G,2,F,9,G
by_player,283,4,1,13,4,20,10,F,7,G,9,F
by_player,284,2,0,6,3,11,8,F,5,G,4,F
by_player,285,4,2,9,6,14,11,F,9,G,9,F
by_player,286,2,3,7,11,12,18,G,9,G,9,F
by_player,287,3,4,8,10,14,16,G,9,G,9,F
by_player,288,2,2,8,6,15,10,F,7,G,9,F
by_player,289,4,2,10,5,15,10,F,9,G,4,F
by_player,290,4,6,6,11,8,17,G,9,G,6,F
by_player,291,5,3,10,5,16,9,F,9,G,2,F
by_player,292,2,1,4,4,11,8,F,4,F,4,G
by_player,293,4,2,9,4,14,7,F,9,G,2,F
by_player,294,4,5,10,9,16,14,F,6,F,9,G
by_player,295,1,3,4,7,11,14,G,3,G,2,F
by_player,296,3,4,8,8,14,11,F,9,G,9,F
by_player,297,1,3,4,7,8,13,G,9,G,8,F
by_player,298,5,2,11,4,16,7,F,9,G,9,F
by_player,299,4,3,8,7,11,13,G,8,F,9,G
by_player,300,3,3,6,7,9,12,G,9,G,9,F
by_player,301,3,4,11,9,17,14,F,9,G,9,F
by_player,302,5,1,10,4,14,7,F,9,G,4,F
by_player,303,4,3,10,7,16,15,F,4,F,9,G
by_player,304,3,2,8,5,13,10,F,6,F,4,G
by_player,305,2,1,6,3,11,7,F,9,G,2,F
by_player,306,4,1,9,6,13,12,F,9,G,9,F
by_player,307,3,1,8,4,12,10,F,9,G,6,F
by_player,308,2,4,5,8,9,14,G,4,F,9,G
by_player,309,4,2,9,7,13,12,F,5,G,9,F
by_player,310,3,0,8,4,14,9,F,4,F,9,G
by_player,311,3,1,11,4,18,10,F,5,G,9,F
by_player,312,3,0,7,6,10,14,G,3,G,9,F
by_player,313,4,1,9,4,11,10,F,8,F,6,G
by_player,314,2,1,3,6,5,9,G,6,F,6,G
by_player,315,5,3,8,7,13,14,G,8,F,6,G
by_player,316,1,1,4,6,10,12,G,7,G,4,F
by_player,317,4,4,9,9,17,14,F,9,G,2,F
by_player,318,2,1,8,5,16,11,F,4,F,6,G
by_player,319,5,2,10,5,17,9,F,9,G,9,F
by_player,320,5,3,8,8,11,13,G,9,G,9,F
by_player,321,4,2,9,6,15,12,F,9,G,9,F
by_player,322,2,2,6,5,12,9,F,8,F,9,G
by_player,323,2,1,5,5,10,11,G,2,F,9,G
by_player,324,4,2,9,6,15,11,F,5,G,4,F
by_player,325,1,2,5,6,9,13,G,9,G,9,F
by_player,326,3,3,7,7,14,13,F,4,F,4,G
by_player,327,3,3,6,5,11,11,draw,6,F,4,G
by_player,328,2,3,6,6,11,13,G,4,F,9,G
by_player,329,5,3,9,4,12,9,F,9,G,9,F
by_player,330,6,2,10,4,15,7,F,9,G,9,F
by_player,331,4,2,9,5,15,10,F,6,F,6,G
by_player,332,4,3,9,7,15,11,F,9,G,9,F
by_player,333,3,2,7,6,11,12,G,4,F,6,G
by_player,334,3,2,7,5,12,11,F,9,G,2,F
by_player,335,0,0,1,2,7,5,F,2,F,2,G
by_player,336,2,1,7,4,13,10,F,9,G,9,F
by_player,337,4,2,9,4,16,10,F,9,G,2,F
by_player,338,1,1,5,2,10,6,F,2,F,9,G
by_player,339,2,3,4,7,8,11,G,8,F,9,G
by_player,340,2,2,5,7,8,12,G,4,F,9,G
by_player,341,5,4,10,7,13,12,F,7,G,9,F
by_player,342,4,3,7,6,11,13,G,9,G,6,F
by_player,343,1,2,3,8,7,13,G,6,F,9,G
by_player,344,0,2,4,7,9,12,G,4,F,9,G
by_player,345,4,3,8,6,13,11,F,9,G,9,F
by_player,346,1,1,5,4,9,8,F,2,F,9,G
by_player,347,2,3,5,5,10,11,G,9,G,2,F
by_player,348,3,1,5,3,9,8,F,9,G,9,F
by_player,349,6,2,13,5,20,9,F,9,G,9,F
by_player,350,2,2,4,6,7,8,G,6,F,9,G
by_player,351,2,1,6,3,12,8,F,4,F,9,G
by_player,352,4,1,10,9,18,15,F,4,F,9,G
by_player,353,2,1,8,4,14,8,F,3,G,9,F
by_player,354,1,2,4,6,8,11,G,9,G,9,F
by_player,355,3,2,9,8,14,14,draw,9,G,9,F
by_player,356,5,2,10,7,16,13,F,9,G,9,F
by_player,357,5,3,10,7,15,14,F,9,G,9,F
by_player,358,1,1,7,2,10,3,F,3,G,9,F
by_player,359,4,4,11,10,17,15,F,9,G,9,F
by_player,360,3,2,8,5,16,9,F,6,F,8,G
by_player,361,1,1,6,6,15,12,F,2,F,8,G
by_player,362,0,2,2,5,7,9,G,2,F,4,G
by_player,363,3,2,7,4,13,9,F,9,G,9,F
by_player,364,7,4,14,8,19,14,F,9,G,2,F
by_player,365,4,3,9,6,15,13,F,9,G,2,F
by_player,366,2,4,9,8,14,13,F,9,G,9,F
by_player,367,3,1,7,5,12,9,F,9,G,9,F
by_player,368,4,2,9,5,14,10,F,9,G,9,F
by_player,369,0,1,3,4,9,9,draw,2,F,8,G
by_player,370,5,3,10,9,16,15,F,7,G,9,F
by_player,371,3,3,6,6,12,12,draw,4,F,2,G
by_player,372,4,1,8,5,12,10,F,9,G,9,F
by_player,373,3,5,8,11,13,16,G,9,G,9,F
by_player,374,3,2,5,4,6,8,G,9,G,6,F
by_player,375,1,0,4,1,6,6,draw,2,F,6,G
by_player,376,1,2,7,6,12,10,F,3,G,9,F
by_player,377,4,3,7,7,10,9,F,9,G,9,F
by_player,378,3,3,7,11,12,18,G,8,F,9,G
by_player,379,2,5,6,10,9,15,G,9,G,4,F
by_player,380,4,3,7,6,13,14,G,7,G,2,F
by_player,381,2,1,6,4,13,9,F,6,F,9,G
by_player,382,3,1,8,3,14,10,F,6,F,2,G
by_player,383,2,4,5,9,9,13,G,7,G,9,F
by_player,384,2,2,5,5,11,12,G,3,G,2,F
by_player,385,0,2,2,7,7,14,G,2,F,6,G
by_player,386,1,1,6,7,13,14,G,4,F,9,G
by_player,387,2,2,8,6,13,9,F,9,G,9,F
by_player,388,2,2,6,10,9,18,G,2,F,9,G
by_player,389,4,2,8,4,13,7,F,9,G,8,F
by_player,390,2,1,7,4,13,8,F,9,G,9,F
by_player,391,2,3,8,8,15,14,F,9,G,9,F
by_player,392,5,5,11,11,20,18,F,9,G,6,F
by_player,393,4,1,12,5,20,9,F,5,G,9,F
by_player,394,1,2,5,4,8,7,F,9,G,9,F
by_player,395,7,3,14,6,19,10,F,9,G,9,F
by_player,396,4,1,11,4,17,10,F,5,G,9,F
by_player,397,4,3,10,8,17,15,F,8,F,9,G
by_player,398,4,5,7,9,13,16,G,9,G,9,F
by_player,399,3,3,6,6,10,10,draw,9,G,9,F
by_player,400,3,2,8,6,14,11,F,9,G,9,F
by_player,401,3,3,7,6,12,9,F,9,G,2,F
by_player,402,2,1,5,4,6,7,G,9,G,9,F
by_player,403,1,1,6,7,12,15,G,2,F,9,G
by_player,404,2,3,7,7,14,11,F,6,F,9,G
by_player,405,2,2,7,8,12,14,G,3,G,9,F
by_player,406,2,1,7,4,11,8,F,5,G,9,F
by_player,407,3,3,6,6,11,12,G,9,G,9,F
by_player,408,4,3,10,7,16,11,F,9,G,6,F
by_player,409,2,3,8,7,14,14,draw,9,G,9,F
by_player,410,3,4,7,8,14,14,draw,9,G,4,F
by_player,411,3,5,8,11,15,18,G,9,G,4,F
by_player,412,2,3,5,8,10,16,G,9,G,2,F
by_player,413,4,3,9,7,14,13,F,8,F,9,G
by_player,414,2,2,6,7,11,11,draw,8,F,9,G
by_player,415,4,3,11,8,18,13,F,5,G,9,F
by_player,416,4,3,10,8,17,14,F,9,G,6,F
by_player,417,3,4,8,8,14,15,G,9,G,9,F
by_player,418,3,0,9,3,13,5,F,9,G,9,F
by_player,419,4,3,9,7,14,13,F,9,G,9,F
by_player,420,3,4,6,8,10,11,G,9,G,9,F
by_player,421,1,2,3,8,9,13,G,4,F,6,G
by_player,422,4,4,7,7,10,12,G,9,G,9,F
by_player,423,5,4,8,11,12,18,G,9,G,9,F
by_player,424,0,1,6,5,12,10,F,2,F,9,G
by_player,425,4,1,11,7,17,13,F,6,F,9,G
by_player,426,2,3,7,7,11,10,F,5,G,9,F
by_player,427,0,1,1,4,7,7,draw,2,F,2,G
by_player,428,1,2,4,5,10,9,F,9,G,9,F
by_player,429,2,2,7,9,11,16,G,2,F,9,G
by_player,430,2,2,9,8,14,15,G,2,F,9,G
by_player,431,2,1,6,5,10,11,G,2,F,9,G
by_player,432,3,3,8,10,14,17,G,4,F,9,G
by_player,433,2,2,7,8,14,13,F,6,F,9,G
by_player,434,1,1,5,6,9,12,G,9,G,9,F
by_player,435,2,3,5,8,10,12,G,7,G,8,F
by_player,436,4,2,8,5,11,10,F,9,G,9,F
by_player,437,1,2,5,9,10,14,G,4,F,9,G
by_player,438,2,3,6,9,10,15,G,4,F,9,G
by_player,439,2,2,4,3,7,5,F,9,G,9,F
by_player,440,5,1,9,3,17,7,F,8,F,2,G
by_player,441,3,2,8,5,13,10,F,6,F,9,G
by_player,442,2,4,5,7,8,12,G,9,G,9,F
by_player,443,6,1,14,6,22,11,F,9,G,6,F
by_player,444,2,2,4,6,7,12,G,5,G,9,F
by_player,445,4,2,8,5,13,11,F,4,F,9,G
by_player,446,2,0,9,3,16,7,F,3,G,9,F
by_player,447,2,1,7,4,15,9,F,7,G,6,F
by_player,448,3,4,7,7,11,12,G,9,G,9,F
by_player,449,0,1,4,6,8,11,G,3,G,9,F
by_player,450,2,2,8,7,12,11,F,5,G,6,F
by_player,451,2,3,9,6,17,10,F,5,G,8,F
by_player,452,3,1,6,6,12,12,draw,9,G,9,F
by_player,453,2,5,4,10,8,17,G,9,G,9,F
by_player,454,2,4,6,8,10,13,G,9,G,9,F
by_player,455,3,5,7,13,12,21,G,8,F,9,G
by_player,456,3,2,7,5,12,9,F,6,F,6,G
by_player,457,5,4,8,9,11,15,G,9,G,9,F
by_player,458,5,0,10,3,15,6,F,9,G,9,F
by_player,459,0,3,3,5,7,9,G,9,G,6,F
by_player,460,5,2,9,6,14,9,F,9,G,4,F
by_player,461,3,2,7,5,12,9,F,9,G,9,F
by_player,462,1,1,7,3,15,7,F,9,G,9,F
by_player,463,4,3,8,8,14,13,F,6,F,2,G
by_player,464,3,2,7,6,11,11,draw,9,G,9,F
by_player,465,2,2,7,6,12,12,draw,5,G,9,F
by_player,466,2,3,7,8,12,14,G,9,G,9,F
by_player,467,2,1,5,2,11,6,F,2,F,2,G
by_player,468,3,2,8,6,15,11,F,4,F,9,G
by_player,469,6,3,10,6,15,11,F,9,G,9,F
by_player,470,4,2,9,6,15,12,F,5,G,9,F
by_player,471,5,2,10,5,13,8,F,9,G,9,F
by_player,472,5,5,11,10,16,15,F,9,G,9,F
by_player,473,2,4,5,9,8,16,G,9,G,9,F
by_player,474,5,5,10,9,14,14,draw,9,G,9,F
by_player,475,3,3,5,7,11,13,G,9,G,4,F
by_player,476,4,2,10,6,17,12,F,9,G,9,F
by_player,477,3,4,7,8,9,13,G,9,G,9,F
by_player,478,3,4,8,12,14,20,G,6,F,9,G
by_player,479,1,0,7,2,13,7,F,3,G,9,F
by_player,480,3,0,8,2,14,6,F,9,G,9,F
by_player,481,3,4,6,11,11,17,G,4,F,9,G
by_player,482,3,1,7,6,11,10,F,3,G,4,F
by_player,483,3,2,6,5,10,8,F,9,G,9,F
by_player,484,1,1,3,4,6,10,G,4,F,4,G
by_player,485,2,2,7,4,13,8,F,9,G,9,F
by_player,486,3,1,7,6,11,13,G,8,F,9,G
by_player,487,1,0,3,1,9,6,F,2,F,2,G
by_player,488,2,1,6,6,11,14,G,4,F,9,G
by_player,489,4,1,8,3,12,10,F,5,G,4,F
by_player,490,2,2,5,4,12,9,F,4,F,9,G
by_player,491,0,1,3,5,8,11,G,2,F,9,G
by_player,492,1,3,6,8,11,13,G,9,G,9,F
by_player,493,2,5,4,9,9,15,G,7,G,9,F
